data.programNumber,value
95.005,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
95.005,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.567,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
97.091,"State (includes District of Columbia, public institutions of higher education and hospitals)"
97.091,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
95.003,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
95.003,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
97.140,Sponsored organization
90.705,Government - General
90.705,Federal
90.705,Interstate
90.705,Intrastate
90.705,"State (includes District of Columbia, public institutions of higher education and hospitals)"
90.705,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
90.705,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
90.705,Other public institution/organization
90.705,Federally Recognized lndian Tribal Governments
90.705,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
90.705,Quasi-public nonprofit institution/organization
90.705,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
95.008,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
95.008,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.579,State
10.579,U.S. Territories and possessions
10.579,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
59.008,Individual/Family
59.008,Small business (less than 500 employees)
59.008,Profit organization
59.008,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
59.008,Other private institutions/organizations
10.384,Federally Recognized lndian Tribal Governments
17.274,Government - General
17.274,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
17.274,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
17.274,Other public institution/organization
17.274,Federally Recognized lndian Tribal Governments
17.274,Non-Government - General
17.274,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
17.274,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
17.201,Government - General
17.201,Federal
17.201,Interstate
17.201,Intrastate
17.201,"State (includes District of Columbia, public institutions of higher education and hospitals)"
17.201,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
17.201,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
17.201,Other public institution/organization
17.201,Federally Recognized lndian Tribal Governments
17.201,U.S. Territories and possessions
17.201,U.S. Territories and possessions (includes institutions of higher education and hospitals)
